rep,tag,base_s,test_s
1,p28_k8,18.081,15.000
1,p28_k10,17.874,15.189
1,p28_k12,18.460,15.628
1,p28_k16,18.056,16.642
2,p28_k8,17.952,14.627
2,p28_k10,17.915,15.187
2,p28_k12,18.315,16.116
2,p28_k16,18.305,16.633
3,p28_k8,18.007,14.861
3,p28_k10,17.596,15.214
3,p28_k12,18.117,15.792
3,p28_k16,18.336,16.802
