rep,tag,base_s,test_s
1,p28_k12,17.726,15.663
1,p29_m4,18.293,14.706
1,p29_m8,18.239,15.581
1,p29_m12,18.200,16.359
2,p28_k12,18.064,15.783
2,p29_m4,18.096,14.732
2,p29_m8,18.128,15.800
2,p29_m12,18.023,16.278
3,p28_k12,18.032,15.363
3,p29_m4,17.954,14.539
3,p29_m8,18.112,15.594
3,p29_m12,18.303,16.718
